date,logger3,logger4,logger6,logger7,logger8,logger9,logger10,logger11,logger12,logger13,logger14,logger15
20160531,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160601,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160602,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160603,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160604,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160605,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160606,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160607,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160608,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160609,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160610,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160611,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160612,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160613,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160614,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160615,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160616,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160617,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160618,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160619,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160620,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160621,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160622,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160623,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160624,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160625,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160626,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160627,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160628,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160629,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160630,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160701,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160702,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160703,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160704,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160705,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160706,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160707,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160708,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160709,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160710,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160711,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160712,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160713,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160714,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160715,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160716,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160717,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160718,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160719,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160720,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160721,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160722,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160723,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160724,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160725,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160726,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160727,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160728,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160729,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160730,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160731,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160801,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160802,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160803,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160804,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160805,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160806,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160807,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160808,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160809,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160810,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160811,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160812,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160813,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
